capacity_1e4_m3_d,CH4_1e4_m3_yr,tier
4.5,8.89101675,II
2.5,2.828065625,II
2.0,10.306103499999999,II
2.5,6.209448437500001,II
2.5,11.804100000000002,II
7.0,25.305039375,I
2.0,9.9351175,II
2.0,10.786699,II
4.5,22.512105,II
0.25,0.40840078125,III
3.0,10.18103625,II
4.0,15.4436975,II
10.0,17.70615,I
0.5,1.995455,III
10.0,35.131249999999994,I
2.0,5.85286625,II
5.0,18.44390625,I
1.5,3.2830153125,III
4.0,5.126352000000001,II
0.05,0.05621,III
1.0,3.073984375,III
1.0,1.7425100000000002,III
0.5,1.0205628125,III
1.0,2.58987575,III
1.0,2.5821468750000003,III
0.05,0.08150450000000002,III
2.0,6.492254999999999,II
0.4,0.73073,III
3.0,8.410421249999999,II
1.0,2.6699750000000004,III
2.0,5.65613125,II
1.25,2.73584609375,III
4.0,13.2796125,II
0.8,0.4918375,III
2.0,6.295520000000001,II
16.0,58.4584,I
1.75,6.447989625000001,III
1.0,2.90184125,III
5.0,25.435025,I
3.0,5.227530000000001,II
1.0,2.21326875,III
1.5,4.0945471875,III
1.0,1.6722474999999999,III
0.5,0.54102125,III
0.5,0.8484196875,III
2.0,5.951233749999999,II
1.5,4.6794825,III
1.0,2.7261849999999996,III
1.5,3.39367875,III
0.05,0.26980800000000005,III
1.5,2.9879128125,III
0.25,2.7402375,III
15.0,65.344125,I
2.0,10.79232,II
4.0,13.04072,II
2.5,6.885724999999999,II
0.2,0.30212875,III
2.0,3.5412299999999997,II
2.0,5.164293750000001,II
0.4,1.8886559999999994,III
1.0,2.5329631249999998,III
1.5,1.3068825000000002,III
2.0,4.0330675000000005,II
0.1,0.129283,III
4.0,12.787774999999998,II
2.0,9.184714,II
2.0,5.311845,II
1.0,2.828065625,III
1.0,2.9510250000000005,III
0.5,1.5485855,III
1.0,3.2320750000000005,III
1.0,1.40525,III
3.5,17.902885,II
5.0,27.29698125,I
2.0,11.804100000000002,II
50.0,156.15840625,I
8.0,38.89732,I
20.0,42.7898625,I
20.0,93.87070000000001,I
2.0,4.672456250000001,II
3.0,4.647864375,II
1.0,1.2787775000000001,III
1.0,2.680514375,III
1.5,0.5385620624999998,III
6.0,7.672665000000001,I
10.0,33.107690000000005,I
1.0,1.5246962499999999,III
1.5,4.27898625,III
1.5,1.844390625,III
2.0,5.1151100000000005,II
1.0,2.6559225,III
